PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP,INDP_CAT,EDU,PINCP,PINCP_DECILE,POVPIP,DVET,DREM,DPHY,DEYE,DEAR,PWGTP,WGTP
48-02102,0,2,N,1,8,2,3,1,1,450.9,N,N,N,N,N,115,N,N,N,2,2,95,78
48-02510,0,2,N,0,1,5,7,1,1,3092.4,N,N,N,N,N,129,N,N,N,2,2,42,42
48-02507,0,2,N,0,1,2,4,1,1,3731.1,N,N,N,N,N,145,N,N,N,2,2,92,92
48-02102,0,2,N,0,1,2,4,1,1,450.9,N,N,N,N,N,148,N,N,N,2,2,60,60
48-02102,0,2,N,0,1,2,4,1,1,450.9,N,N,N,N,N,147,N,N,N,2,2,60,60
48-02102,0,2,N,4,1,2,4,1,1,450.9,N,N,N,N,N,162,N,N,N,2,2,60,60
48-02102,0,1,N,0,2,2,4,1,1,450.9,N,N,N,N,N,147,N,N,N,2,2,60,60
48-02507,0,2,N,0,1,2,4,1,1,3731.1,N,N,N,N,N,177,N,N,N,2,2,209,200
48-02102,0,2,N,0,1,2,4,1,1,450.9,N,N,N,N,N,147,N,N,N,2,2,60,60
48-02101,0,2,N,0,1,3,6,1,2,357.4,N,N,N,N,N,180,N,N,N,2,2,240,241
48-02515,0,2,N,0,1,3,5,1,1,2134.8,N,N,N,N,N,206,N,N,N,2,2,126,116
48-02510,0,1,N,0,8,3,5,1,1,3092.4,N,N,N,N,N,182,N,N,N,2,2,89,47
48-02515,0,2,N,0,1,3,5,1,1,2134.8,N,N,N,N,N,206,N,N,N,2,2,126,116
48-02101,0,1,N,1,1,3,5,1,1,357.4,N,N,N,N,N,203,N,N,N,2,2,48,51
48-02516,0,2,N,1,1,3,5,1,1,1338.4,N,N,N,N,N,210,N,N,N,2,2,45,45
48-02516,0,1,N,0,1,3,5,1,1,1338.4,N,N,N,N,N,208,N,N,N,2,2,45,45
48-02101,0,1,N,0,9,3,5,1,1,357.4,N,N,N,N,N,210,N,N,N,2,2,48,51
48-02516,0,2,N,0,1,0,6,1,1,1338.4,N,N,N,N,N,209,N,N,N,2,2,12,12
48-02101,0,1,N,0,1,4,6,1,1,357.4,N,N,N,N,N,220,N,N,N,2,2,65,65
48-02101,0,1,N,0,1,2,4,1,1,357.4,N,N,N,N,N,210,N,N,N,2,2,43,43
48-02101,0,1,N,0,1,2,4,1,1,357.4,N,N,N,N,N,221,N,N,N,2,2,119,147
48-02515,0,2,N,1,1,2,4,1,1,2134.8,N,N,N,N,N,235,N,N,N,2,2,61,61
48-02507,0,1,N,0,1,1,3,1,1,3731.1,N,N,N,N,N,307,N,N,N,2,2,145,141
48-02515,0,1,N,0,6,1,3,1,1,2134.8,N,N,N,N,N,259,N,N,N,2,2,76,76
48-02101,0,1,N,1,8,2,3,1,1,357.4,N,N,N,N,N,354,N,N,N,2,2,89,88
48-02102,0,2,N,0,1,1,3,1,1,450.9,N,N,N,N,N,304,N,N,N,2,2,120,71
48-02102,0,2,N,0,1,1,3,1,2,450.9,N,N,N,N,N,378,N,N,N,2,2,57,51
48-02510,0,2,N,0,1,1,3,1,2,3092.4,N,N,N,N,N,309,N,N,N,2,2,10,10
48-02102,0,1,N,0,1,1,3,1,2,450.9,N,N,N,N,N,378,N,N,N,2,2,41,29
48-02101,0,2,N,0,9,4,6,1,1,357.4,N,N,N,N,N,317,N,N,N,2,2,52,53
48-02510,0,2,N,4,1,2,4,1,1,3092.4,N,N,N,N,N,408,N,N,N,2,2,119,147
48-02515,0,2,N,4,9,3,5,1,1,2134.8,N,N,N,N,N,323,N,N,N,2,2,88,88
48-02515,0,1,N,0,1,1,3,1,1,2134.8,N,N,N,N,N,414,N,N,N,2,2,59,58
48-02515,0,1,N,4,1,1,3,1,1,2134.8,N,N,N,N,N,340,N,N,N,2,2,109,81
48-02516,0,2,N,0,8,1,3,1,1,1338.4,N,N,N,N,N,44,N,N,N,2,2,56,58
48-02101,0,1,N,0,1,1,3,1,1,357.4,N,N,N,N,N,351,N,N,N,2,2,67,60
48-02101,0,1,N,0,8,1,3,1,1,357.4,N,N,N,N,N,488,N,N,N,2,2,67,60
48-02101,0,2,N,0,1,1,3,1,1,357.4,N,N,N,N,N,373,N,N,N,2,2,67,60
48-02510,0,1,N,1,1,0,6,1,1,3092.4,N,N,N,N,N,490,N,N,N,2,2,20,0
48-02102,0,1,N,0,9,1,3,1,1,450.9,N,N,N,N,N,376,N,N,N,2,2,12,12
48-02102,0,1,N,1,1,1,3,1,1,450.9,N,N,N,N,N,491,N,N,N,2,2,36,37
48-02510,0,1,N,0,8,1,3,1,1,3092.4,N,N,N,N,N,384,N,N,N,2,2,64,55
48-02101,0,2,N,1,1,1,3,1,1,357.4,N,N,N,N,N,501,N,N,N,2,2,75,67
48-02516,0,1,N,0,1,2,3,1,1,1338.4,N,N,N,N,N,391,N,N,N,2,2,28,23
48-02516,0,1,N,0,1,1,3,1,1,1338.4,N,N,N,N,N,501,N,N,N,2,2,73,0
48-02507,0,1,N,0,9,1,3,1,1,3731.1,N,N,N,N,N,409,N,N,N,2,2,50,59
48-02510,0,1,N,0,1,1,3,1,1,3092.4,N,N,N,N,N,501,N,N,N,2,2,19,16
48-02516,0,2,N,0,1,3,5,1,1,1338.4,N,N,N,N,N,416,N,N,N,2,2,218,156
48-02515,0,1,N,1,1,4,6,1,1,2134.8,N,N,N,N,N,501,N,N,N,2,2,81,117
48-02510,0,2,N,0,9,0,5,1,2,3092.4,N,N,N,N,N,428,N,N,N,2,2,307,210
48-02510,0,2,N,0,9,3,5,1,1,3092.4,N,N,N,N,N,501,N,N,N,2,2,364,329
48-02507,0,1,N,0,1,1,3,1,2,3731.1,N,N,N,N,N,436,N,N,N,2,2,185,220
48-02510,0,1,N,0,1,1,3,1,1,3092.4,N,N,N,N,N,501,N,N,N,2,2,75,71
48-02516,0,2,N,0,1,1,3,1,1,1338.4,N,N,N,N,N,440,N,N,N,2,2,208,207
48-02101,0,1,N,0,1,0,5,1,1,357.4,N,N,N,N,N,501,N,N,N,2,2,122,121
48-02510,0,2,N,0,8,1,3,1,1,3092.4,N,N,N,N,N,443,N,N,N,2,2,26,15
48-02101,0,2,N,1,1,1,3,1,1,357.4,N,N,N,N,N,501,N,N,N,2,2,131,105
48-02516,0,1,N,0,9,1,3,1,1,1338.4,N,N,N,N,N,501,N,N,N,2,2,204,155
48-02510,0,1,N,1,1,2,4,1,1,3092.4,N,N,N,N,N,501,N,N,N,2,2,39,38
48-02510,0,2,N,0,9,1,3,1,2,3092.4,N,N,N,N,N,501,N,N,N,2,2,89,78
48-02101,0,2,N,0,1,1,3,1,1,357.4,N,N,N,N,N,501,N,N,N,2,2,67,60
48-02101,0,1,N,1,1,1,3,1,1,357.4,N,N,N,N,N,501,N,N,N,2,2,18,18
48-02515,0,1,N,0,1,0,5,1,1,2134.8,N,N,N,N,N,501,N,N,N,2,2,28,28
48-02101,0,2,N,0,1,1,3,1,1,357.4,N,N,N,N,N,501,N,N,N,2,2,181,121
48-02101,0,1,N,0,1,1,3,1,1,357.4,N,N,N,N,N,501,N,N,N,2,2,66,86
48-02516,0,2,N,0,1,1,3,1,1,1338.4,N,N,N,N,N,501,N,N,N,2,2,12,12
48-02515,0,2,N,0,1,0,5,1,1,2134.8,N,N,N,N,N,501,N,N,N,2,2,8,9
48-02510,0,1,N,0,1,3,5,1,1,3092.4,N,N,N,N,N,501,N,N,N,2,2,179,116
48-02510,0,1,N,0,1,3,5,1,1,3092.4,N,N,N,N,N,501,N,N,N,2,2,179,116
48-02516,0,1,N,0,8,2,3,1,1,1338.4,N,N,N,N,N,501,N,N,N,2,2,52,49
48-02515,0,1,N,0,1,1,3,1,1,2134.8,N,N,N,N,N,501,N,N,N,2,2,65,52
48-02507,0,2,N,0,1,0,5,1,1,3731.1,N,N,N,N,N,501,N,N,N,2,2,73,0
48-02102,0,1,N,0,1,1,3,1,1,450.9,N,N,N,N,N,501,N,N,N,2,2,353,356
48-02510,0,1,N,1,1,1,3,1,1,3092.4,N,N,N,N,N,501,N,N,N,2,2,168,192
48-02507,0,1,N,4,8,3,5,1,1,3731.1,N,N,N,N,N,501,N,N,N,2,2,5,6
48-02101,0,2,N,0,9,1,3,1,1,357.4,N,N,N,N,N,501,N,N,N,2,2,131,105
48-02510,0,1,N,0,1,1,3,1,1,3092.4,N,N,N,N,N,501,N,N,N,2,2,75,71
48-02101,0,2,N,0,9,1,3,1,1,357.4,N,N,N,N,N,501,N,N,N,2,2,131,105
48-02101,0,2,N,0,8,1,3,1,2,357.4,N,N,N,N,N,85,N,N,N,2,2,14,13
48-02515,0,1,N,0,1,4,6,1,1,2134.8,N,N,N,N,N,501,N,N,N,2,2,32,31
48-02515,0,1,N,0,1,3,4,1,2,2134.8,N,N,N,N,N,89,N,N,N,2,2,67,70
48-02515,0,1,N,1,9,4,6,1,2,2134.8,N,N,N,N,N,84,N,N,N,2,2,32,31
48-02102,0,2,N,1,1,4,5,1,1,450.9,N,N,N,N,N,89,N,N,N,2,2,45,45
48-02515,0,2,N,0,2,4,6,1,2,2134.8,N,N,N,N,N,87,N,N,N,2,2,32,31
48-02102,0,1,N,0,1,3,5,3,0,450.9,N,N,N,N,N,*479,N,N,N,2,2,145,142
48-02102,0,2,N,0,8,4,6,2,0,450.9,N,N,N,N,N,91,N,N,N,2,2,16,16
48-02507,0,2,N,0,9,4,5,2,0,3731.1,N,N,N,N,N,N,N,N,N,2,2,106,92
48-02507,0,2,N,0,1,4,5,2,0,3731.1,N,N,N,N,N,91,N,N,N,2,2,106,92
48-02507,2,1,N,1,1,6,7,1,2,3731.1,N,N,N,N,N,0,N,N,N,2,2,171,172
48-02507,6,1,N,1,1,2,3,1,2,3731.1,N,N,1,N,N,0,N,N,N,2,2,175,202
48-02102,2,2,N,1,1,2,3,1,2,450.9,N,N,N,N,N,0,N,N,N,2,2,58,53
48-02101,8,1,N,1,1,2,3,1,1,357.4,N,N,N,N,N,0,N,N,N,2,2,113,94
48-02101,2,2,N,1,1,2,3,1,2,357.4,N,N,1,N,N,0,N,N,N,2,2,90,78
48-02516,10,1,N,0,1,6,7,1,1,1338.4,N,N,N,N,N,105,N,N,N,2,2,171,172
48-02102,3,1,N,0,1,2,3,1,1,450.9,N,N,N,N,N,0,N,N,N,2,2,121,74
48-02515,11,1,N,1,1,5,7,1,2,2134.8,N,N,2,N,N,0,N,N,N,2,2,98,88
48-02515,4,2,N,0,1,5,7,1,2,2134.8,N,N,2,N,N,0,N,N,N,2,2,98,88
48-02515,11,2,N,0,1,6,7,1,2,2134.8,N,N,2,N,N,105,N,2,2,2,2,80,84
48-02510,6,1,N,0,8,6,7,1,1,3092.4,N,N,3,N,N,0,N,2,2,2,2,172,172
48-02516,16,2,N,0,1,3,6,1,1,1338.4,N,N,3,N,N,0,N,2,2,2,2,65,45
48-02102,8,1,N,0,1,3,6,1,2,450.9,N,N,3,N,N,0,N,2,2,2,2,44,46
48-02102,16,2,N,0,2,3,6,1,1,450.9,N,N,3,N,N,0,N,2,2,2,2,24,24
48-02510,9,2,N,0,1,3,6,1,2,3092.4,N,N,3,N,N,0,N,1,2,2,2,93,65
48-02510,17,2,N,1,1,3,6,1,2,3092.4,N,N,3,N,N,0,N,2,2,2,2,11,0
48-02515,15,2,6,1,1,1,N,1,1,2134.8,N,N,4,0.0,0,0,N,1,2,2,2,73,61
48-02102,18,1,6,1,1,0,N,1,1,450.9,N,N,4,0.0,0,0,N,2,2,2,2,119,73
48-02510,16,1,6,1,1,0,2,1,2,3092.4,N,N,4,0.0,0,0,N,2,2,2,2,53,53
48-02101,18,2,6,1,1,0,N,1,1,357.4,N,N,4,0.0,0,105,N,1,2,2,2,71,71
48-02507,16,2,6,1,1,0,N,1,1,3731.1,N,N,4,0.0,0,0,N,1,2,2,2,71,71
48-02102,23,2,6,1,1,4,5,1,1,450.9,N,N,4,0.0,0,104,N,2,2,2,2,66,40
48-02515,16,1,6,0,1,0,2,1,2,2134.8,N,N,4,0.0,0,0,N,2,2,2,2,53,53
48-02510,25,2,6,0,1,1,3,1,2,3092.4,N,N,4,0.0,0,0,N,2,2,2,2,167,159
48-02510,16,2,6,1,1,1,3,1,2,3092.4,N,N,4,0.0,0,0,N,2,2,2,2,167,159
48-02516,26,2,6,1,1,1,3,1,1,1338.4,N,N,4,0.0,0,0,N,2,2,2,2,167,159
48-02510,16,1,6,1,1,0,2,1,2,3092.4,N,N,4,0.0,0,0,N,2,2,2,2,53,53
48-02102,31,2,6,1,1,4,5,1,1,450.9,N,N,4,0.0,0,0,N,2,2,2,2,66,40
48-02507,17,2,6,1,8,1,3,1,1,3731.1,8680,14,4,0.0,0,0,N,2,2,2,2,69,56
48-02516,31,2,6,0,1,1,3,1,1,1338.4,8680,14,4,0.0,0,0,N,2,2,2,2,171,177
48-02516,17,2,6,1,1,1,3,1,1,1338.4,8680,14,4,0.0,0,0,N,2,2,2,2,171,177
48-02510,32,2,6,1,9,1,3,1,2,3092.4,N,N,4,0.0,0,0,N,2,2,2,2,17,18
48-02507,18,1,6,0,9,1,5,1,2,3731.1,N,16,7,0.0,0,0,N,1,2,2,2,25,17
48-02510,35,2,6,1,9,1,3,1,2,3092.4,N,N,4,0.0,0,0,N,2,2,2,2,17,18
48-02102,18,2,6,0,9,3,5,1,1,450.9,8680,14,5,2000.0,1,104,N,2,2,2,2,122,105
